variant,seed,best_val_sharpe,best_return_pct,best_mdd_pct,best_n_trades,best_n_cycles,final_val_sharpe,final_return_pct,final_mdd_pct,final_n_trades,final_n_cycles,wallclock_sec
sym,42,1.973964819848981,7.235742074214525,3.947308545489709,118,53,1.4901228520176282,8.318035227243843,6.803642097360476,100,40,387.4
sym,43,1.7528996016951595,6.840980436028727,3.333479841988808,133,61,0.4622372421287527,2.282470422906706,6.455629756031217,141,62,221.0
sym,44,1.5772854345859542,5.927233298917329,4.89386126857058,135,58,0.9941020779557613,4.589997353661969,7.554339842682542,142,63,275.6
sym,45,1.8897998392580546,5.577429289830663,2.935328948484952,102,47,0.8422309922039712,1.6325814556689977,4.569990623036714,86,38,364.7
sym,46,1.8442250637738098,5.9286599670425675,2.4937844989387314,108,52,1.7528431433439575,6.646495448102118,4.826050154081322,100,44,236.8
sym,47,2.0185426879475505,6.811520023621178,2.352602031064942,129,61,0.6300747660362581,2.5921230250187817,6.626962881815908,107,47,344.1
sym,48,1.6619045588710637,6.011774909589995,2.623110188716846,131,62,1.0820356610032043,3.847603189155118,3.7206659276083585,118,55,218.6
sym,49,2.339344717554694,8.099780912781206,3.528896494666985,108,49,0.522122351178004,3.6300115262568555,10.606439350792035,117,49,308.6
sym,50,1.9787637937168459,7.717281372758147,3.940272948482817,109,49,0.9339804742559312,8.500705467883085,9.68801403452371,112,47,367.5
sym,51,1.672050566030228,5.836990133906664,2.6380003093486204,129,61,1.4378987580263844,5.331911451961011,2.95888943910493,106,50,219.1
asym,42,1.6599873798125446,4.698948203266494,2.010938356490762,77,37,1.1410531409233307,2.453434794862892,1.9164869687753356,23,11,290.6
asym,43,1.7292709736552196,6.142668012520831,2.516938328275393,123,58,1.3432184453493814,3.394832724556351,2.1920371507513616,45,21,237.2
asym,44,1.599793449571092,3.926511761004428,1.9854922175894458,51,25,0.8747840548978697,1.2506304919359401,1.643255941891289,20,9,343.1
asym,45,1.7879350084028833,4.682839555220992,1.855467006243457,62,30,1.1821023438744713,1.8904524082013037,1.5950680630462315,22,11,306.2
asym,46,1.824240793737874,5.640629586416109,2.3993188525452918,98,47,1.2573435816955874,3.071061504996055,2.0610383082030763,36,17,252.6
asym,47,1.5523739794343725,4.972603510015497,2.5482003292847493,119,57,0.5674310189365283,0.8295239797449504,1.915878365076025,23,11,235.0
asym,48,1.6101281560799237,5.660173512924792,2.432911891047401,118,56,1.0060232332659134,2.2364477011985233,2.084526047241475,44,21,217.4
asym,49,1.6522106941399552,5.827235199069698,2.5700384084796353,116,54,1.260893414176532,2.6999175038125167,1.9881152158950308,46,22,201.3
asym,50,1.8125420367022076,4.822343514319966,1.854034248816506,61,29,0.9112400115752418,1.3137543128672369,1.5814515026612552,20,10,366.8
asym,51,1.5841604202562334,5.9445458731387735,2.5883317881722068,133,63,1.4694575426646659,3.799404000582345,2.2545739234631172,61,29,202.6
dsr,42,1.5065593282255403,5.389224582812764,3.20088519126041,122,56,1.4504204549950912,7.978446583638053,9.64610871260999,84,30,279.8
dsr,43,1.540775891981796,5.977489699819709,3.3173846195093,138,64,1.3651492565109717,4.943116478400129,2.768446162151153,114,54,228.7
dsr,44,1.9131096808726429,12.294366904779375,7.637694736761148,124,48,0.8612967040023729,7.797818865998771,16.111563551795943,82,23,367.9
dsr,45,1.8344358226145183,7.862925066453878,6.026868760746785,115,48,0.8233141645648532,4.590128050964945,7.280671347215334,103,43,380.4
dsr,46,2.0074581542051497,8.697255942082434,4.413994668532057,86,34,1.0560895661726784,5.7912896729446395,11.271599684193715,60,21,328.6
dsr,47,1.996655775528044,9.166077662868101,5.915300075575828,87,35,1.9908177891841068,7.5481469460403545,5.924860703236987,82,34,370.7
dsr,48,2.1098109010338986,6.826707095200609,4.2728790439244495,85,38,0.7567926023492402,1.3985510653146969,8.871102855451188,81,36,367.4
dsr,49,1.819968386601402,5.815784531084685,2.3081027453122593,127,59,1.607430990907541,8.519316453087841,6.209281944510555,132,58,289.0
dsr,50,1.733664551772976,6.450197212393047,2.774500294883428,148,69,0.8195167493673854,5.092549622190273,12.262927409757546,96,34,218.2
dsr,51,1.6292920413902803,5.474213849021254,3.3861735913544377,137,62,1.3076580093929329,7.1736811177881705,8.62437975172531,104,38,200.5
pt,42,1.7455987563537754,4.5009559112361215,1.8493904889432387,79,39,1.0803959395698501,2.0245062375869294,1.6405675622747342,23,11,270.3
pt,43,1.6809757571929087,4.8464366455654355,2.4762420588152314,73,34,1.0745552596266719,2.178476519017436,2.104444982972998,25,12,287.4
pt,44,1.5507717054702472,5.80602183316455,2.5810513093894327,143,67,1.3784601321128078,3.2441508753394936,2.2594759618276097,36,17,201.1
pt,45,1.7883495212555658,4.528202850374745,1.956408795963057,56,27,1.2036026114268488,2.572971999796645,1.9208350387350848,26,12,288.6
pt,46,1.732423240408344,5.025905336840635,2.3876209389505076,72,34,1.0744941628326194,2.170423189124724,1.8809986939184502,23,11,289.3
pt,47,1.5250866762705346,4.752023362451507,2.712312520939302,118,56,0.7869376559560601,1.1941543458706816,2.0978357881924405,20,9,216.9
pt,48,1.6063720468965372,4.460207480498054,2.1619417310236715,65,31,1.183423471273686,2.3430082444679363,2.099949013387288,29,13,293.5
pt,49,1.6269847423082915,5.5328957782176165,2.595351174766159,114,54,1.2019712179930702,2.040403290446347,1.5386116816311628,28,14,201.6
pt,50,1.6265407508853909,4.537984067003029,2.1524718034187837,64,31,0.830816610992045,1.2450040877067958,1.6266974105134981,18,9,330.5
pt,51,1.7823011882632982,4.8286781136366415,2.2239328856199347,61,29,1.0014556858660681,1.6865513194124973,2.073917014276879,25,12,345.6
