variant,vol_regime,n,action_0_mean,action_0_std,action_1_mean,action_1_std
asym,low_vol,86050,0.32532836318011454,0.30015060057054754,0.029385414267860392,0.0628799368657932
asym,mid_vol,88650,0.3209870906209744,0.29695330281956317,0.02955225672424722,0.06470645113749951
asym,high_vol,86040,0.2810490167242482,0.270559427045551,0.03163496296677906,0.06639396797161447
dsr,low_vol,86050,0.12908286662852592,0.2165104701750818,0.14495631171667347,0.2015449351125114
dsr,mid_vol,88650,0.12008973833762812,0.21300556624225186,0.1469456622620768,0.19834386227830028
dsr,high_vol,86040,0.12366692641782039,0.207055433866287,0.16074112188513998,0.20802364817534996
pt,low_vol,86050,0.4461962122109192,0.3110361630149884,0.05586149883088139,0.1278126423954618
pt,mid_vol,88650,0.44216618975046634,0.30839071332614254,0.05242584798735074,0.12003711859274915
pt,high_vol,86040,0.3992997948055947,0.30076156456822006,0.05302720792662579,0.12501476685480947
sym,low_vol,86050,0.12937090816720617,0.1508440274960911,0.06279555370616778,0.10417222729075035
sym,mid_vol,88650,0.12018492276060935,0.14407618570043518,0.05569081096378356,0.0935500724669271
sym,high_vol,86040,0.12539857623143197,0.14810133285797775,0.06756257767128135,0.10220300318406086
